match_id,toss_winner_id,toss_decision
598046,7,bat
598047,10,bat
598048,11,bat
598049,6,bat
598050,7,bat
598051,11,field
598052,5,field
598053,1,bat
598054,6,field
598055,10,bat
598056,4,field
598057,1,field
598058,5,field
598059,4,field
598060,11,bat
598061,1,field
598062,3,bat
598063,5,field
598064,4,field
598065,11,bat
598066,7,field
598067,10,bat
598068,3,field
598069,1,bat
598070,3,bat
598071,11,bat
598072,5,bat
598073,7,bat
729279,1,bat
729281,2,field
729283,3,bat
729285,5,field
729287,2,field
729289,1,bat
729291,4,field
729293,3,bat
729295,11,field
729297,5,field
729299,2,field
729301,11,bat
729303,7,bat
729305,5,field
729307,1,field
729309,7,bat
729311,11,bat
729313,4,field
729315,5,bat
729317,7,field
733971,3,bat
733973,4,bat
733975,5,field
733977,2,field
733979,1,field
733981,3,field
733983,2,field
733985,6,bat
733987,3,field
733989,5,field
733991,2,field
733993,11,field
733995,3,field
733997,1,field
733999,2,bat
734001,11,bat
734003,5,bat
734005,6,field
734007,4,field
734009,1,field
734011,6,field
734013,3,bat
734015,11,bat
734017,7,bat
734019,4,field
734021,2,bat
734023,1,field
734025,7,field
734027,2,field
734029,11,field
734031,6,field
734033,5,field
734035,3,field
734037,1,field
734039,4,field
734041,7,field
734043,4,field
734045,3,field
734047,3,field
734049,1,field
829705,1,field
829707,6,field
829709,4,field
829711,3,bat
829713,2,field
829715,5,field
829717,7,field
829719,11,field
829721,7,bat
829723,1,field
829725,4,bat
829727,5,field
829729,7,bat
829731,6,bat
829733,1,field
829735,3,bat
829737,2,field
829739,1,field
829741,4,field
829743,1,field
829745,2,field
829747,7,field
829749,2,field
829751,7,bat
829753,3,bat
829757,2,field
829759,4,field
829761,1,bat
829763,5,field
829765,1,field
829767,6,field
829769,5,field
829771,2,field
829773,3,field
829775,7,bat
829777,6,field
829779,3,bat
829781,11,field
829783,6,bat
829785,4,field
829787,5,field
829789,3,bat
829791,4,bat
829793,11,bat
829795,2,bat
829797,3,bat
829799,11,bat
829801,3,bat
829803,2,field
829805,1,field
829807,11,bat
829809,4,bat
829811,5,bat
829813,2,field
829815,11,bat
829817,7,bat
829819,2,bat
829821,3,field
829823,3,field
980901,7,bat
980903,1,field
980905,13,field
980907,11,field
980909,7,field
980911,12,bat
980913,6,field
980915,11,bat
980917,13,field
980919,12,bat
980921,6,field
980923,11,field
980925,1,field
980927,7,field
980929,11,field
980931,12,field
980933,7,field
980935,11,field
980937,2,bat
980939,1,field
980941,4,field
980943,12,field
980945,6,field
980947,7,field
980949,13,field
980951,1,field
980953,2,field
980955,13,field
980957,7,field
980959,1,field
980961,6,field
980963,4,field
980965,12,field
980967,11,field
980969,2,field
980971,6,field
980973,7,field
980975,13,field
980977,4,field
980979,11,bat
980981,7,field
980983,6,field
980985,7,bat
980987,13,field
980989,12,bat
980991,4,bat
980993,6,field
980995,2,field
980997,12,field
980999,4,field
981001,13,field
981003,6,field
981005,4,bat
981007,13,field
981009,11,field
981011,2,field
981013,2,field
981015,1,field
981017,11,field
981019,11,bat
1082591,2,field
1082592,14,field
1082593,1,field
1082594,4,field
1082595,2,bat
1082596,11,field
1082597,7,field
1082598,2,bat
1082599,14,field
1082600,7,field
1082601,1,field
1082602,7,field
1082603,13,field
1082604,11,field
1082605,6,bat
1082606,7,field
1082607,2,field
1082608,6,bat
1082609,4,field
1082610,13,field
1082611,11,bat
1082612,7,field
1082613,13,field
1082614,6,field
1082615,14,field
1082616,13,field
1082617,2,field
1082618,7,field
1082620,1,field
1082621,13,field
1082622,1,field
1082623,4,field
1082624,2,field
1082625,13,bat
1082626,4,field
1082627,1,field
1082628,2,bat
1082629,14,field
1082630,6,field
1082631,14,field
1082632,6,field
1082633,2,field
1082634,11,field
1082635,6,field
1082636,1,field
1082637,13,field
1082638,7,bat
1082639,1,field
1082640,6,field
1082641,7,field
1082642,6,bat
1082643,11,field
1082644,1,field
1082645,14,field
1082646,2,bat
1082647,7,field
1082648,1,field
1082649,7,field
1082650,7,bat
1136561,3,field
1136562,4,field
1136563,1,field
1136564,11,field
1136565,3,field
1136566,6,field
1136567,11,field
1136568,2,field
1136569,6,field
1136570,11,field
1136571,2,field
1136572,3,field
1136573,6,field
1136574,2,field
1136575,1,field
1136576,4,bat
1136577,5,field
1136578,4,field
1136579,2,field
1136580,11,field
1136581,7,bat
1136582,6,field
1136583,7,field
1136584,3,field
1136585,4,field
1136586,1,field
1136587,7,field
1136588,11,bat
1136589,1,field
1136590,6,field
1136591,7,field
1136592,5,field
1136593,1,field
1136594,7,field
1136595,3,field
1136596,6,bat
1136597,1,field
1136598,4,field
1136599,2,field
1136600,5,bat
1136601,1,field
1136602,6,bat
1136603,3,bat
1136604,4,field
1136605,2,field
1136606,3,field
1136607,5,field
1136608,2,field
1136609,1,field
1136610,4,field
1136611,11,field
1136612,3,field
1136613,5,bat
1136614,11,bat
1136615,6,bat
1136616,3,field
1136617,3,field
1136618,5,field
1136619,1,field
1136620,3,field
1175356,3,field
1175357,1,field
1175358,7,field
1175359,5,field
1175360,15,bat
1175361,4,field
1175362,2,field
1175363,5,bat
1175364,4,field
1175365,15,field
1175366,2,field
1175367,5,field
1175368,15,field
1175369,5,field
1175370,3,field
1175371,11,field
1175372,1,field
1178393,3,bat
1178394,11,field
1178395,15,field
1178396,1,field
1178397,4,field
1178398,3,field
1178399,7,field
1178400,3,field
1178401,15,field
1178402,5,field
1178403,2,field
1178404,3,field
1178405,11,field
1178406,7,field
1178407,5,field
1178408,3,bat
1178409,7,bat
1178410,1,field
1178411,5,field
1178412,15,field
1178413,11,field
1178414,3,field
1178415,15,field
1178416,3,field
1178417,4,field
1178418,5,field
1178419,3,field
1178420,5,field
1178421,15,bat
1178422,7,field
1178423,4,field
1178424,5,field
1178425,15,field
1178426,7,bat
1178427,1,field
1178428,5,bat
1178429,2,field
1178430,4,field
1178431,7,field
1181764,3,bat
1181766,15,field
1181767,3,field
1181768,7,bat
1216492,3,field
1216493,4,field
1216494,1,bat
1216495,11,field
1216496,3,field
1216497,15,field
1216498,11,field
1216499,7,field
1216500,5,field
1216501,1,bat
1216502,11,field
1216503,4,field
1216504,5,field
1216505,15,field
1216506,3,field
1216507,11,bat
1216508,1,field
1216509,3,bat
1216510,2,field
1216511,7,bat
1216512,11,field
1216513,4,bat
1216514,5,bat
1216515,1,field
1216516,11,bat
1216517,7,bat
1216518,11,field
1216519,2,field
1216520,4,field
1216521,7,field
1216522,5,bat
1216523,1,bat
1216524,15,field
1216525,2,bat
1216526,1,bat
1216527,5,field
1216528,3,bat
1216529,15,bat
1216530,5,field
1216531,2,bat
1216532,15,field
1216533,3,bat
1216534,11,field
1216535,7,field
1216536,3,field
1216537,5,field
1216538,7,bat
1216539,3,field
1216540,2,bat
1216541,7,bat
1216542,11,bat
1216543,15,bat
1216544,2,bat
1216545,11,bat
1216546,15,bat
1216547,7,field
1237177,15,field
1237178,11,field
1237180,15,bat
1237181,15,bat
1254058,2,field
1254059,15,field
1254060,11,field
1254061,5,field
1254062,1,field
1254063,11,field
1254064,5,field
1254065,3,field
1254066,7,bat
1254067,2,bat
1254068,15,field
1254069,5,field
1254070,7,bat
1254071,16,bat
1254072,1,field
1254073,2,field
1254074,16,field
1254075,5,field
1254076,3,bat
1254077,15,bat
1254078,1,field
1254079,15,field
1254080,11,bat
1254081,7,field
1254082,15,field
1254083,2,field
1254084,7,field
1254085,11,field
1254086,15,field
1254087,2,bat
1254088,7,bat
1254089,5,field
1254090,2,bat
1254091,3,field
1254092,1,field
1254093,7,field
1254094,16,field
1254095,2,field
1254096,1,field
1254097,5,field
1254098,1,bat
1254099,7,field
1254100,5,bat
1254101,2,field
1254102,16,field
1254103,2,field
1254104,3,bat
1254105,11,bat
1254106,5,field
1254107,11,field
1254108,7,field
1254109,11,bat
1254110,15,field
1254111,16,field
1254112,15,field
1254113,3,field
1254114,3,field
1254115,2,bat
1254116,1,field
1254117,1,field
1304047,1,field
1304048,15,field
1304049,16,field
1304050,18,field
1304051,11,field
1304052,2,field
1304053,17,field
1304054,1,field
1304055,7,field
1304056,15,field
1304057,3,field
1304058,11,field
1304059,2,field
1304060,1,field
1304061,17,field
1304062,18,field
1304063,11,field
1304064,2,field
1304065,1,field
1304066,17,field
1304067,11,field
1304068,2,field
1304069,7,field
1304070,5,field
1304071,11,field
1304072,7,field
1304073,15,field
1304074,11,field
1304075,18,field
1304076,1,field
1304077,17,field
1304078,15,field
1304079,3,field
1304080,15,field
1304081,18,bat
1304082,11,field
1304083,7,field
1304084,3,field
1304085,2,field
1304086,18,field
1304087,15,field
1304088,16,field
1304089,2,bat
1304090,7,field
1304091,17,bat
1304092,11,field
1304093,1,field
1304094,18,bat
1304095,3,field
1304096,11,field
1304097,18,field
1304098,16,bat
1304099,1,field
1304100,2,bat
1304101,15,field
1304102,7,field
1304103,18,bat
1304104,15,field
1304105,7,field
1304106,2,field
1304107,1,bat
1304108,3,bat
1304109,5,bat
1304110,16,field
1304111,7,field
1304112,17,bat
1304113,18,bat
1304114,3,bat
1304115,7,field
1304116,11,bat
1312197,18,field
1312198,17,field
1312199,5,field
1312200,5,bat
1359475,18,field
1359476,1,field
1359477,15,field
